iter	Passed	Remaining
445	1147	1424
446	1149	1421
447	1151	1418
448	1153	1415
449	1155	1412
450	1158	1409
451	1160	1406
452	1162	1403
453	1164	1400
454	1166	1397
455	1168	1394
456	1170	1390
457	1172	1388
458	1175	1385
459	1176	1381
460	1178	1378
461	1180	1374
462	1182	1371
463	1183	1367
464	1185	1364
465	1187	1361
466	1189	1357
467	1191	1354
468	1193	1351
469	1195	1347
470	1197	1344
471	1199	1341
472	1200	1337
473	1202	1334
474	1204	1331
475	1206	1328
476	1208	1325
477	1210	1322
478	1212	1318
479	1214	1315
480	1215	1312
481	1217	1308
482	1219	1305
483	1221	1302
484	1223	1299
485	1225	1295
486	1227	1292
487	1228	1289
488	1230	1286
489	1232	1282
490	1234	1279
491	1236	1276
492	1238	1273
493	1240	1270
494	1242	1267
495	1243	1263
496	1245	1260
497	1247	1257
498	1249	1254
499	1251	1251
500	1253	1248
501	1256	1246
502	1258	1243
503	1260	1240
504	1261	1237
505	1263	1233
506	1266	1231
507	1268	1228
508	1270	1225
509	1273	1223
510	1275	1220
511	1277	1217
512	1279	1215
513	1282	1212
514	1284	1209
515	1287	1207
516	1289	1204
517	1292	1202
518	1295	1200
519	1297	1197
520	1300	1195
521	1302	1193
522	1305	1190
523	1308	1188
524	1310	1185
525	1313	1183
526	1315	1180
527	1317	1178
528	1320	1175
529	1322	1172
530	1324	1169
531	1326	1167
532	1328	1164
533	1330	1161
534	1332	1158
535	1334	1155
536	1336	1152
537	1338	1149
538	1340	1146
539	1342	1143
540	1344	1140
541	1346	1137
542	1348	1135
543	1351	1132
544	1353	1129
545	1354	1126
546	1356	1123
547	1358	1120
548	1361	1118
549	1363	1115
550	1365	1112
551	1368	1110
552	1370	1108
553	1372	1105
554	1375	1102
555	1377	1100
556	1379	1097
557	1381	1094
558	1383	1091
559	1385	1088
560	1388	1086
561	1391	1084
562	1393	1081
563	1395	1078
564	1398	1076
565	1399	1073
566	1401	1070
567	1403	1067
568	1406	1065
569	1408	1062
570	1410	1059
571	1412	1057
572	1414	1054
573	1416	1051
574	1418	1048
575	1420	1045
576	1422	1043
577	1424	1040
578	1426	1037
579	1428	1034
580	1430	1031
581	1432	1029
582	1435	1026
583	1436	1023
584	1439	1020
585	1441	1018
586	1443	1015
587	1446	1013
588	1448	1010
589	1451	1008
590	1453	1005
591	1455	1003
592	1457	1000
593	1459	997
594	1461	995
595	1464	992
596	1466	990
597	1469	987
598	1471	985
599	1474	982
600	1476	979
601	1478	977
602	1482	975
603	1484	973
604	1486	970
605	1488	968
606	1491	965
607	1493	962
608	1495	960
609	1498	958
610	1500	955
611	1503	953
612	1505	950
613	1508	948
614	1511	946
615	1514	944
616	1517	941
617	1519	939
618	1522	937
619	1525	934
620	1527	932
621	1530	930
622	1532	927
623	1535	925
624	1538	922
625	1540	920
626	1542	917
627	1545	915
628	1547	913
629	1551	911
630	1553	908
631	1556	906
632	1559	904
633	1561	901
634	1563	898
635	1566	896
636	1568	893
637	1570	891
638	1573	889
639	1576	886
640	1578	883
641	1580	881
642	1581	878
643	1584	875
644	1585	872
645	1588	870
646	1589	867
647	1591	864
648	1593	861
649	1595	859
650	1597	856
651	1599	853
652	1600	850
653	1602	847
654	1604	845
655	1606	842
656	1608	839
657	1610	836
658	1612	834
659	1614	831
660	1615	828
661	1618	826
662	1619	823
663	1621	820
664	1623	817
665	1625	815
666	1627	812
667	1629	809
668	1631	806
669	1632	804
670	1635	801
671	1637	799
672	1639	796
673	1642	794
674	1644	791
675	1646	788
676	1647	786
677	1650	783
678	1652	781
679	1654	778
680	1656	776
681	1658	773
682	1660	770
683	1662	768
684	1664	765
685	1666	762
686	1668	760
