iter	RMSE
347	794775.2395
348	791617.2506
349	789299.4609
350	787586.0147
351	786605.9996
352	783616.3419
353	781757.4014
354	778979.6493
355	776298.6272
356	774683.1191
357	772327.6145
358	770174.812
359	768455.4261
360	766563.2855
361	763989.0945
362	762969.7903
363	762325.7997
364	760783.5207
365	758206.1767
366	755963.1694
367	754101.6391
368	752593.3936
369	750189.1098
370	748060.6357
371	746326.0435
372	745002.7273
373	743732.7626
374	742860.2151
375	740636.5063
376	737953.599
377	735841.9307
378	732612.3272
379	730842.5448
380	728907.9877
381	727991.5277
382	726032.0305
383	723329.1365
384	722444.5437
385	721334.769
386	718905.2925
387	717271.3035
388	715790.5571
389	713563.7035
390	711477.7425
391	709597.7896
392	706619.2129
393	705089.2371
394	703315.2549
395	701813.9888
396	701004.5687
397	698659.8653
398	697478.1601
399	696204.5234
400	694440.7225
401	692778.6981
402	690601.2942
403	689098.8539
404	687628.9838
405	684640.5306
406	682006.5015
407	679476.6741
408	677046.4177
409	675910.6641
410	674624.9149
411	672213.3213
412	669538.3693
413	668092.1806
414	665974.657
415	663309.6072
416	661484.2912
417	659764.7427
418	657639.0844
419	655945.4223
420	654321.937
421	653153.2136
422	651630.1651
423	650824.5245
424	649152.7279
425	647938.2026
426	646437.9406
427	645281.053
428	644585.7588
429	643402.7818
430	642019.2513
431	641288.7031
432	640586.1639
433	639334.8393
434	637991.9849
435	636939.9212
436	635581.5818
437	634516.5923
438	633431.9541
439	632225.1952
440	631175.703
441	629232.94
442	627367.5174
443	625936.7763
444	624155.8137
445	622699.3198
446	621256.3013
447	620060.1914
448	618098.7271
449	615949.6642
450	614080.0485
451	612048.855
452	610724.0059
453	608893.594
454	607687.8985
455	606541.8305
456	605277.0376
457	603945.1752
458	602815.251
459	601546.4519
460	600889.5032
461	599744.9336
462	598490.3824
463	597547.7625
464	596565.8948
465	595866.7246
466	594401.6966
467	593423.4275
468	591634.0464
469	590625.419
470	589005.0533
471	587876.9583
472	586672.1892
473	585883.0677
474	584216.2218
475	582944.1635
476	581858.1119
477	580626.8683
478	579998.8831
479	578413.8598
480	577237.647
481	575710.8011
482	574247.1084
483	573342.4054
484	572475.5291
485	571644.5868
486	571047.1715
487	569771.9068
488	568975.2788
489	567970.5579
490	566465.9911
491	565694.2639
492	565111.93
493	564177.3594
494	562805.9771
495	561908.6278
496	560858.6676
497	559804.3536
498	558999.8238
499	557872.9676
500	556586.0738
501	555995.9675
502	555356.8664
503	554324.9744
504	553172.1747
505	552187.6255
506	551220.1006
507	549984.9055
508	548804.7602
509	547651.9274
510	546533.0653
511	545563.7583
512	544693.7431
513	543562.1378
514	542555.5873
515	541351.0046
516	540716.8821
517	540016.3114
518	538992.6838
519	538110.9468
520	536991.8714
521	535990.2352
522	535014.8882
523	534237.9685
524	533447.0895
525	532397.8881
526	531489.8655
527	530548.7533
528	529875.9306
529	529233.4691
530	528076.689
531	527259.9709
532	526024.6005
533	524809.3408
534	523648.1641
535	522910.9385
536	521251.5635
537	520506.6877
538	519860.8885
539	519218.7105
540	518593.7239
541	518007.6501
542	516916.8641
543	515874.1349
544	514854.9991
545	514058.3822
546	512955.1675
547	511632.0961
548	510668.0049
549	509858.755
550	508912.7381
551	507970.9035
552	507388.7011
553	506797.2268
554	505899.7766
555	505210.5343
556	504229.1506
557	503521.0975
558	502953.2618
559	502097.2945
560	501340.6775
561	500486.0926
562	499426.2134
563	498885.0004
564	498105.8184
565	497249.5979
566	496633.7458
567	496117.2264
568	495471.9183
569	494707.6257
570	494011.4196
571	493408.0117
572	492652.4274
573	491718.1563
574	491216.2219
575	490426.8288
576	489512.9245
577	488110.1084
578	487403.7959
579	486695.169
580	485990.8212
581	485247.5903
582	484614.5257
583	483827.2549
584	483045.5041
585	482189.8454
586	481103.7884
587	480463.6259
588	479585.4815
589	478953.2034
590	478352.0091
591	477623.2908
592	476899.2741
593	476175.8842
594	475699.6298
595	475016.9113
596	474432.4377
597	473860.9234
598	473170.5351
599	472548.5717
600	471673.4648
601	471219.2945
602	470487.2767
603	469767.3031
604	469299.1381
605	468595.1268
606	467984.9527
607	467402.9771
608	466620.5367
609	466075.3661
610	465432.5224
611	464691.6304
612	464039.8952
613	463553.2817
614	463111.0915
615	462414.4942
616	461595.8402
617	460889.8562
618	460370.9041
619	459704.8297
620	458966.2611
621	458213.0886
622	457691.9197
623	457185.5591
624	456628.018
625	455958.3651
626	455427.7492
627	454791.2433
628	454302.4787
629	453068.8028
630	452527.526
631	451950.9871
632	451522.9147
633	451178.9002
634	450585.3472
635	450076.9357
636	449252.617
637	448689.3113
638	448099.944
639	447455.4995
640	446659.6772
641	445801.3368
642	445143.3997
643	444721.3923
644	444105.466
645	443358.5092
646	442560.9743
647	442003.7278
648	441300.0721
649	440634.3961
650	440209.2783
651	439803.2629
652	439071.5016
653	438682.1395
654	437608.8471
655	437235.1961
656	436694.396
657	436065.3889
658	434832.8019
659	433805.7496
660	433074.4205
661	431953.5111
662	431429.931
663	430751.2792
664	430236.7607
665	429626.1643
666	429030.1989
667	428418.7071
668	427748.9068
669	427176.6941
670	426654.5774
671	426216.3407
672	425601.9099
673	424742.1366
674	424407.5235
675	423750.2455
676	422928.4063
677	422606.9368
678	421669.4564
679	421044.1936
680	420697.2043
681	420273.6253
682	419971.7989
683	419646.6834
684	418807.6801
685	418183.2797
686	417647.1098
687	417164.4774
688	416648.146
689	416246.8185
690	415700.0337
691	415319.631
692	414728.1226
693	414167.4771
694	413742.0922
695	413298.341
696	412789.9466
697	412510.7996
698	412007.7424
699	411476.5592
700	410942.5315
701	410445.5947
702	409838.9478
703	409347.2768
704	408858.1572
705	408405.6303
706	407785.26
707	407319.6016
708	406847.1328
709	406348.0168
710	405768.7982
711	405210.5009
712	404847.2819
713	404263.6429
714	403789.9535
715	403175.7136
716	402715.1775
717	402385.1701
718	401918.5928
719	401380.6401
720	400881.5474
721	400415.345
722	399880.7326
723	399490.9371
724	398996.7065
725	398667.9859
726	398193.7661
727	397844.0527
728	397369.7702
729	396929.7187
730	396480.3338
731	396077.3155
732	395669.85
733	395254.6224
734	394858.3498
735	394359.1617
736	393977.5317
737	393581.513
738	393033.8286
739	392654.7254
740	392140.3515
741	391761.6463
742	391362.5087
743	390894.4428
744	390313.1757
745	389887.6948
746	389537.7304
747	388759.0831
748	388261.6187
749	387881.1937
750	387558.4978
751	387272.9796
752	386998.2634
753	386591.7895
754	386123.1177
755	385761.6009
756	385333.1671
757	385036.5348
758	384638.7494
759	384303.6013
760	384007.2407
761	383748.8419
762	383401.3059
763	382973.4901
764	382663.8762
765	382345.8634
766	382073.1874
767	381941.5233
768	381536.7837
769	381184.295
770	380931.7256
771	380593.3895
772	380232.5186
773	379796.0384
774	379543.3066
775	379215.8984
776	378718.1201
777	378591.257
778	378156.609
779	377476.6276
780	377093.9011
781	376629.9012
782	376176.502
783	375722.0424
784	375315.6442
785	375069.4197
786	374664.2025
787	374269.2088
788	373893.5622
789	373500.8278
790	373166.5037
791	372903.2504
792	372543.951
793	372114.4853
794	371671.8206
795	371377.2868
796	371036.5758
797	370770.373
798	370374.8276
799	369910.5489
800	369678.7958
801	369409.1855
802	369105.7527
803	368631.1573
804	368414.5389
805	368164.9372
806	367896.4626
807	367528.5453
808	367250.8599
809	367041.0662
810	366610.2307
811	366310.4798
812	366082.4923
813	365745.2512
814	365417.0652
815	365065.527
816	364862.9132
817	364576.9548
818	364276.0125
819	363909.6461
820	363478.6395
821	363155.4098
822	362812.9305
823	362566.6838
824	361977.1973
825	361784.2317
826	361553.5686
827	361279.617
828	360744.8217
829	360313.1211
830	360022.0034
831	359733.9049
832	359551.2527
833	359329.7855
834	358892.2978
835	358715.8426
836	358296.8343
837	357960.0285
838	357729.5258
839	357158.6438
840	356885.1501
841	356474.9632
842	356308.6527
843	355992.3187
844	355577.6522
845	355153.6504
846	354729.364
847	354567.8995
848	354319.5268
849	354027.4147
850	353558.8605
851	353239.3103
852	352844.5013
853	352688.1475
854	352434.3057
855	352214.6943
856	351862.2081
857	351495.1452
858	351122.8993
859	350746.7729
860	350058.9221
861	349715.8712
862	349357.2792
863	348939.7939
864	348515.0251
865	348090.9738
866	347721.1616
867	347236.8065
868	346899.6021
869	346609.7422
870	346275.8421
871	345736.9587
872	345271.3301
873	344988.6917
874	344687.937
875	344445.5414
876	343977.4821
877	343725.3673
878	343539.9016
879	343211.1813
880	342924.4018
881	342728.7786
882	342484.139
883	342222.1869
884	341852.6819
885	341463.3367
886	341119.3647
887	340828.6194
888	340570.7561
889	340226.5356
890	340032
891	339691.0179
892	339503.0502
893	339263.1937
894	338965.8339
895	338785.4908
896	338531.1731
897	338344.7176
898	338157.7755
899	337935.0153
900	337690.9054
901	337517.3769
902	337099.9564
903	336884.2047
904	336688.6464
905	336514.1261
906	336207.4296
907	335836.8877
908	335612.8982
909	335273.706
910	335050.9097
911	334768.0172
912	334506.0426
913	334186.1477
914	333842.2686
915	333640.122
916	333473.1534
917	333219.7417
918	332920.1178
919	332618.2352
920	332261.3371
921	332066.7107
922	331909.4429
923	331742.7563
924	331562.2718
925	331193.3822
926	330798.2908
927	330607.7301
928	330222.5287
929	330068.0322
930	329628.0791
931	329259.8211
932	328974.1266
933	328635.5429
934	328367.8719
935	328047.6861
936	327770.6559
937	327531.6183
938	327258.8501
939	326835.3873
940	326417.4871
941	326181.1774
942	325874.02
943	325601.7417
944	325244.3821
945	325083.6074
946	324855.5515
947	324667.4244
948	324412.1962
949	324223.5703
950	324034.9194
951	323753.1009
952	323537.4432
953	323398.8519
954	323140.5281
955	322918.1742
956	322668.2534
957	322332.3703
958	321983.6436
959	321603.174
960	321333.0989
961	321102.0727
962	320847.2484
963	320550.6419
964	320388.7436
965	320215.3828
966	319992.4131
967	319721.3017
968	319588.8291
969	319372.9908
970	319054.6875
971	318846.3213
972	318644.9129
973	318409.2669
974	318136.3334
975	317810.6217
976	317623.9168
977	317410.2418
978	317157.6371
979	316757.3407
980	316516.7014
981	316294.2123
982	315902.5822
983	315525.3894
984	315350.1792
985	315107.5177
986	314877.2728
987	314669.9173
988	314440.5884
989	314295.303
990	314007.0683
991	313571.9828
992	313380.8093
993	313095.1641
994	312792.6735
995	312553.1123
996	312393.1162
997	312038.4957
998	311672.5264
999	311432.8937
